"Año";"Trimestre";"Mes";"Depósitos";"Retiradas";"Nº de depósitos"
2013;"2013.T1";"Enero";43938987;24907530;1464463
2013;"2013.T1";"Febrero";41163543;22820812;1354706
2013;"2013.T1";"Marzo";45746957;26437795;1417211
2013;"2013.T2";"Abril";43081897;25174853;1300446
2013;"2013.T2";"Mayo";43967455;26890121;1394652
2013;"2013.T2";"Junio";41112229;27794666;1233424
2013;"2013.T3";"Julio";37095257;22717313;1088662
2013;"2013.T3";"Agosto";42193356;24722500;1201994
2013;"2013.T3";"Septiembre";45347263;29692604;1367010
2013;"2013.T4";"Octubre";47823602;30814521;1479949
2013;"2013.T4";"Noviembre";45821822;27671484;1487182
2013;"2013.T4";"Diciembre";46511205;31252507;1495845
2014;"2014.T1";"Enero";51888210;31007636;1638292
2014;"2014.T1";"Febrero";47769735;28383408;1504032
2014;"2014.T1";"Marzo";52160816;31878135;1618583
2014;"2014.T2";"Abril";49780730;32858078;1495272
2014;"2014.T2";"Mayo";53330787;35921623;1610684
2014;"2014.T2";"Junio";53432322;32424974;1480176
2014;"2014.T3";"Julio";48648316;32953197;1335016
2014;"2014.T3";"Agosto";51329776;28209988;1449809
2014;"2014.T3";"Septiembre";53958842;32599328;1572313
2014;"2014.T4";"Octubre";57212416;35507560;1652751
2014;"2014.T4";"Noviembre";57766113;37410310;1726169
2014;"2014.T4";"Diciembre";58294539;40159006;1740839
2015;"2015.T1";"Enero";65749789;40322315;1917307
2015;"2015.T1";"Febrero";62215150;38502515;1795563
2015;"2015.T1";"Marzo";65758363;41613098;1910466
2015;"2015.T2";"Abril";64422836;42508838;1873561
2015;"2015.T2";"Mayo";69409027;49661600;1900985
2015;"2015.T2";"Junio";62645510;45982993;1657330
2015;"2015.T3";"Julio";58003714;37639405;1531209
2015;"2015.T3";"Agosto";71229737;40448599;1895921
2015;"2015.T3";"Septiembre";76563666;47922908;2069908
2015;"2015.T4";"Octubre";80314801;49469785;2255313
2015;"2015.T4";"Noviembre";79130368;53268910;2251942
2015;"2015.T4";"Diciembre";82631422;54780753;2156753
2016;"2016.T1";"Enero";87969854;54276977;12324442
2016;"2016.T1";"Febrero";87660548;54459194;12209114
2016;"2016.T1";"Marzo";95538077;62805610;13070878
2016;"2016.T2";"Abril";99550877;68535080;12668354
2016;"2016.T2";"Mayo";95902015;69367614;12868796
2016;"2016.T2";"Junio";94117572;62841095;12035705
2016;"2016.T3";"Julio";85641717;60752713;1930922
2016;"2016.T3";"Agosto";93853150;59775380;2136890
2016;"2016.T3";"Septiembre";103276417;66918156;2470220
2016;"2016.T4";"Octubre";108410097;68564639;2775987
2016;"2016.T4";"Noviembre";106836212;68102672;2811520
2016;"2016.T4";"Diciembre";108271009;70060601;2922538
2017;"2017.T1";"Enero";117249709;67876927;3085942
2017;"2017.T1";"Febrero";110675110;71352728;2894899
2017;"2017.T1";"Marzo";126373246;87227308;3333571
2017;"2017.T2";"Abril";131018541;88625968;3484372
2017;"2017.T2";"Mayo";124167944;84875258;3172297
2017;"2017.T2";"Junio";113280810;82587027;2716865
2017;"2017.T3";"Julio";111007891;71891314;2694321
2017;"2017.T3";"Agosto";141365307;91933385;4840464
2017;"2017.T3";"Septiembre";169571684;118830486;6802183
2017;"2017.T4";"Octubre";169371340;113699534;6638628
2017;"2017.T4";"Noviembre";157873425;107471655;6133871
2017;"2017.T4";"Diciembre";168504291;109918284;6804582
2018;"2018.T1";"Enero";183589020;123129783;0
2018;"2018.T1";"Febrero";176173526;123852985;0
2018;"2018.T1";"Marzo";202398586;149247957;0
2018;"2018.T2";"Abril";201566003;145252344;0
2018;"2018.T2";"Mayo";194626258;149777930;0
2018;"2018.T2";"Junio";212990638;148284006;0
2018;"2018.T3";"Julio";204624820;153480671;0
2018;"2018.T3";"Agosto";208287735;148222313;0
2018;"2018.T3";"Septiembre";233902697;170802840;0
2018;"2018.T4";"Octubre";235494834;172489203;0
2018;"2018.T4";"Noviembre";228223208;170764613;0
2018;"2018.T4";"Diciembre";236294697;175660244;0
2019;"2019.T1";"Enero";237522038;180326111;0
2019;"2019.T1";"Febrero";237280072;172957211;0
2019;"2019.T1";"Marzo";256562618;192220059;0
2019;"2019.T2";"Abril";231991225;171189746;0
2019;"2019.T2";"Mayo";235621461;180501212;0
2019;"2019.T2";"Junio";221431114;171054426;0
2019;"2019.T3";"Julio";207381885;154726375;0
2019;"2019.T3";"Agosto";231036040;165276607;0
2019;"2019.T3";"Septiembre";247639649;182991454;0
2019;"2019.T4";"Octubre";260233236;198114756;0
2019;"2019.T4";"Noviembre";265450769;205416436;0
2019;"2019.T4";"Diciembre";284840387;230419001;0
2020;"2020.T1";"Enero";270891892;197368438;0
2020;"2020.T1";"Febrero";261253007;194155537;0
2020;"2020.T1";"Marzo";268707247;212651731;0
