"Año";"Trimestre";"Mes";"Cuentas activas";"Cuentas nuevas"
2013;"2013.T1";"Enero";289770;137144
2013;"2013.T1";"Febrero";287528;142551
2013;"2013.T1";"Marzo";305069;164144
2013;"2013.T2";"Abril";290931;135785
2013;"2013.T2";"Mayo";280910;111781
2013;"2013.T2";"Junio";239465;82123
2013;"2013.T3";"Julio";189706;62621
2013;"2013.T3";"Agosto";237728;102228
2013;"2013.T3";"Septiembre";338720;170301
2013;"2013.T4";"Octubre";303976;140618
2013;"2013.T4";"Noviembre";298177;125350
2013;"2013.T4";"Diciembre";284497;109728
2014;"2014.T1";"Enero";316668;140974
2014;"2014.T1";"Febrero";326819;137004
2014;"2014.T1";"Marzo";340938;142635
2014;"2014.T2";"Abril";347128;133733
2014;"2014.T2";"Mayo";345191;124131
2014;"2014.T2";"Junio";372573;170397
2014;"2014.T3";"Julio";366025;92022
2014;"2014.T3";"Agosto";356346;93085
2014;"2014.T3";"Septiembre";486319;154696
2014;"2014.T4";"Octubre";346860;125529
2014;"2014.T4";"Noviembre";379058;132215
2014;"2014.T4";"Diciembre";349009;124602
2015;"2015.T1";"Enero";392919;161913
2015;"2015.T1";"Febrero";391401;144384
2015;"2015.T1";"Marzo";402558;155764
2015;"2015.T2";"Abril";391627;137207
2015;"2015.T2";"Mayo";393736;138638
2015;"2015.T2";"Junio";344641;107196
2015;"2015.T3";"Julio";270257;74477
2015;"2015.T3";"Agosto";369430;130848
2015;"2015.T3";"Septiembre";406554;155457
2015;"2015.T4";"Octubre";517553;185924
2015;"2015.T4";"Noviembre";522224;188194
2015;"2015.T4";"Diciembre";515209;170667
2016;"2016.T1";"Enero";522200;183467
2016;"2016.T1";"Febrero";553506;191990
2016;"2016.T1";"Marzo";575666;205786
2016;"2016.T2";"Abril";634221;260207
2016;"2016.T2";"Mayo";618308;219515
2016;"2016.T2";"Junio";560789;192718
2016;"2016.T3";"Julio";485092;155319
2016;"2016.T3";"Agosto";524620;216547
2016;"2016.T3";"Septiembre";613131;280523
2016;"2016.T4";"Octubre";592574;193564
2016;"2016.T4";"Noviembre";609233;212476
2016;"2016.T4";"Diciembre";611929;192244
2017;"2017.T1";"Enero";627991;193294
2017;"2017.T1";"Febrero";632014;200057
2017;"2017.T1";"Marzo";679419;235068
2017;"2017.T2";"Abril";713913;248130
2017;"2017.T2";"Mayo";660780;194805
2017;"2017.T2";"Junio";563493;160285
2017;"2017.T3";"Julio";486371;159306
2017;"2017.T3";"Agosto";663370;284237
2017;"2017.T3";"Septiembre";713914;266173
2017;"2017.T4";"Octubre";692029;217361
2017;"2017.T4";"Noviembre";677387;194968
2017;"2017.T4";"Diciembre";682488;189672
2018;"2018.T1";"Enero";757508;250664
2018;"2018.T1";"Febrero";788650;256849
2018;"2018.T1";"Marzo";842834;296055
2018;"2018.T2";"Abril";852854;273132
2018;"2018.T2";"Mayo";843058;234921
2018;"2018.T2";"Junio";883174;296228
2018;"2018.T3";"Julio";809156;227434
2018;"2018.T3";"Agosto";767807;210521
2018;"2018.T3";"Septiembre";859059;258082
2018;"2018.T4";"Octubre";900380;290648
2018;"2018.T4";"Noviembre";846468;242406
2018;"2018.T4";"Diciembre";828006;235157
2019;"2019.T1";"Enero";911864;298772
2019;"2019.T1";"Febrero";900358;255226
2019;"2019.T1";"Marzo";916318;267774
2019;"2019.T2";"Abril";904987;256432
2019;"2019.T2";"Mayo";923973;266483
2019;"2019.T2";"Junio";754751;178709
2019;"2019.T3";"Julio";772659;215831
2019;"2019.T3";"Agosto";898054;266736
2019;"2019.T3";"Septiembre";938131;280283
2019;"2019.T4";"Octubre";916658;274536
2019;"2019.T4";"Noviembre";957398;311774
2019;"2019.T4";"Diciembre";1044117;317987
2020;"2020.T1";"Enero";867876;264291
2020;"2020.T1";"Febrero";895572;265698
2020;"2020.T1";"Marzo";970206;338032
