Exclusivo,Plataforma,Posicion,Puntaje,Tipojuego,Videojuego
,PC,54,84,Videojuego,A Way Out
,PC,37,862,Videojuego,Black Mesa
,PC,96,81,Videojuego,Bloodroots
,PC,69,83,Videojuego,Bloodstained: Curse of the Moon 2
,PC,64,835,Videojuego,Call of Duty: Warzone
,PC,85,815,Videojuego,Command & Conquer Remastered Collection
,PC,38,861,Videojuego,Death Stranding
,PC,72,825,Videojuego,Deep Rock Galactic
,PC,24,88,Videojuego,Desperados III
,PC,51,842,Videojuego,Detroit: Become Human
,PC,7,911,Videojuego,Doom Eternal
,PC,25,88,Videojuego,F1 2020
,PC,44,85,Videojuego,Fall Guys: Ultimate Knockout
,PC,26,876,Videojuego,Grand Theft Auto IV
,PC,14,905,Videojuego,Hades
,PC,68,83,Videojuego,Huntdown
,PC,27,875,Videojuego,Legends of Runeterra
,PC,56,84,Videojuego,Monster Train
,PC,95,81,Videojuego,Necrobarista
,PC,79,819,Videojuego,Observation
,PC,10,908,Videojuego,Ori and the Will of the Wisps
,PC,55,84,Videojuego,Outer Wilds
,PC,39,86,Videojuego,Persona 4 Golden
,PC,62,835,Videojuego,Risk of Rain 2
,PC,13,905,Videojuego,Spelunky 2
,PC,32,869,Videojuego,Spiritfarer
,PC,63,835,Videojuego,Street Fighter V: Champion Edition
,PC,48,844,Videojuego,Streets of Rage 4
,PC,86,815,Videojuego,Tell Me Why
,PC,47,844,Videojuego,The Pedestrian
,PC,73,825,Videojuego,The Wonderful 101: Remastered
,PC,33,869,Videojuego,Tony Hawk's Pro Skater 1 + 2
,PC,41,855,Videojuego,Wasteland 3
,PS4,28,875,Videojuego,Bayonetta & Vanquish 10th Anniversary Bundle
,PS4,70,83,Videojuego,Bloodroots
,PS4,76,825,Videojuego,Call of Duty: Warzone
,PS4,40,86,Videojuego,Desperados III
,PS4,9,91,Videojuego,Doom Eternal
,PS4,34,869,Videojuego,F1 2020
,PS4,84,817,Videojuego,Fall Guys: Ultimate Knockout
,PS4,23,881,Videojuego,Final Fantasy VII Remake
,PS4,50,843,Videojuego,Ghost of Tsushima
,PS4,98,81,Videojuego,Hardcore Mecha
,PS4,97,81,Videojuego,Huntdown
,PS4,19,89,Videojuego,Kentucky Route Zero: TV Edition
,PS4,75,825,Videojuego,Mega Man Zero/ZX Legacy Collection
,PS4,60,838,Videojuego,Nioh 2
,PS4,1,975,Videojuego,Persona 5 Royal
,PS4,74,825,Videojuego,Pillars of Eternity II: Deadfire
,PS4,17,894,Videojuego,Pistol Whip
,PS4,16,894,Videojuego,Spelunky 2
,PS4,49,844,Videojuego,Spiritfarer
,PS4,99,81,Videojuego,Stellaris: Console Edition
,PS4,61,837,Videojuego,Streets of Rage 4
,PS4,3,933,Videojuego,The Last of Us Parte II
,PS4,29,875,Videojuego,Tony Hawk's Pro Skater 1 + 2
,PS4,100,81,Videojuego,Two Point Hospital
,PS4,87,815,Videojuego,Wasteland 3
,Switch,66,835,Videojuego,51 Worldwide Games
,Switch,59,84,Videojuego,BioShock: The Collection
,Switch,67,835,Videojuego,Bloodstained: Curse of the Moon 2
,Switch,89,815,Videojuego,Borderlands Legendary Collection
,Switch,82,819,Videojuego,CrossCode
,Switch,52,842,Videojuego,Devil May Cry 3: Special Edition
,Switch,5,925,Videojuego,Hades
,Switch,21,885,Videojuego,Kentucky Route Zero: TV Edition
,Switch,58,84,Videojuego,Mega Man Zero/ZX Legacy Collection
,Switch,93,814,Videojuego,Neon Abyss
,Switch,90,815,Videojuego,OkunoKA Madness
,Switch,31,875,Videojuego,Spiritfarer
,Switch,42,855,Videojuego,Streets of Rage 4
,Switch,53,841,Videojuego,Tokyo Mirage Sessions #FE Encore
,Switch,78,825,Videojuego,Two Point Hospital
,Switch,12,906,Videojuego,Xenoblade Chronicles: Definitive Edition
,XBOne,36,865,Videojuego,Bayonetta & Vanquish 10th Anniversary Bundle
,XBOne,77,825,Videojuego,Call of Duty: Warzone
,XBOne,88,815,Videojuego,Deep Rock Galactic
,XBOne,30,875,Videojuego,Desperados III
,XBOne,6,915,Videojuego,Doom Eternal
,XBOne,18,894,Videojuego,F1 2020
,XBOne,65,835,Videojuego,Huntdown
,XBOne,20,885,Videojuego,Kentucky Route Zero: TV Edition
,XBOne,81,819,Videojuego,Neon Abyss
,XBOne,4,933,Videojuego,Ori and the Will of the Wisps
,XBOne,57,84,Videojuego,Resident Evil 3 Remake
,XBOne,71,83,Videojuego,Stellaris: Console Edition
,XBOne,83,818,Videojuego,Streets of Rage 4
,XBOne,94,813,Videojuego,Tell Me Why
,XBOne,35,869,Videojuego,Tony Hawk's Pro Skater 1 + 2
,XBOne,80,819,Videojuego,Two Point Hospital
,XBOne,91,814,Videojuego,Underhero
,XBOne,45,85,Videojuego,Wasteland 3
dificultad,Switch,92,814,Videojuego,Rune Factory 4 Special
exclusiva para la realidad virtual,PC,2,959,Videojuego,Half-Life: Alyx
juego de rol,PS4,8,91,Videojuego,13 Sentinels: Aegis Rim
Little Big Planet,PS4,22,884,Videojuego,Dreams
narrativa,Switch,43,855,Videojuego,Catherine: Full Body
nubes volumétricas y cambios de luz inimaginables,PC,15,9,Videojuego,Microsoft Flight Simulator
The Origami King,Switch,46,845,Videojuego,Paper Mario: The Origami King
viajaremos a una isla desierta,Switch,11,906,Videojuego,Animal Crossing: New Horizons
